Sentence,Source,SourceType
Sir William and Lady Lucas were speedily applied to for their consent; and it was bestowed with a most joyful alacrity.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Colonel Forster gives us reason to expect him here soon.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Clement s, because Wickham s lodgings were in that parish.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"I am astonished, said Miss Bingley, that my father should have left so small a collection of books.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"I am joined with him in the guardianship of Miss Darcy. Are you, indeed?",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"She supposed, if he meant anything, he must mean an allusion to what might arise in that quarter.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"He keeps a man-servant, does he?",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Darcy returned within the stated time.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
It is wonderful how many families I have been the means of supplying in that way.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"He walked here, and he walked there, fancying himself so very great!",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Gardiner he was scarcely a less interesting personage than to herself.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Astonishment, apprehension, and even horror, oppressed her.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bingley s carriage immediately, and at length it was settled that their original design of leaving Netherfield that morning should be mentioned, and the request made.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
I think it is no sacrifice to join occasionally in evening engagements.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
I do not get on at all.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Her brother s recommendation was enough to insure her favour: his judgment could not err; and he had spoken in such terms of Elizabeth, as to leave Georgiana without the power of finding her otherwise than lovely and amiable.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Hurst called them to order, with bitter complaints of their inattention to what was going forward.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Are the shades of Pemberley to be thus polluted? You can _now_ have nothing further to say, she resentfully answered.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Miss Bingley was engrossed by Mr.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Fitzwilliam Darcy formerly spoken of as a very proud, ill-natured boy.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
